Latitude,Longitude,Event,Elevation [m],Depth [m],G. bulloides [%],G. crassaformis [%],N. dutertrei [%],G. inflata [%],N. pachyderma d [%],N. pachyderma s [%],G. ruber w [%],G. scitula [%],O. universa [%],G. aequilateralis [%],G. calida [%],G. falconensis [%],G. glutinata [%],G. hirsuta [%],G. menardii [%],H. pelagica [%],P/D int [%],G. quinqueloba [%],G. ruber p [%],G. ruber hsp [%],G. sacculifer wo sac [%],G. sacculifer sac [%],G. tumida [%],G. tenellus [%],G. truncatulinoides d [%],G. truncatulinoides s [%],G. conglobatus [%],G. conglomerata [%],G. menardii flexuosa [%],S. dehiscens [%],G. digitata [%],T. humilis [%],C. nitida [%],G. rubescens white [%],G. rubescens pink [%],G. hexagonus [%],G. bradyi [%],P. obliquiloculata [%],D. anfracta [%],G. theyeri [%],T. iota [%],Foram plankt [#]
-6.5823,10.3186,GeoB1008-3,-3124,2.18,40.77,1.14,7.39,19.14,11.69,0,1.48,1.07,13.63,0.13,0,0,0.4,0,0,0,0,0.54,1.54,0,0.87,0.13,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,669
-6.5823,10.3186,GeoB1008-3,-3124,2.23,17.21,1.62,8.28,33.12,14.94,0,2.11,1.79,6.01,0.32,0.81,0,2.27,0,0,0,0,0.97,6.49,0,0.65,0.16,0,0,0.16,0.16,0,0,0,0,2.27,0,0,0,0,0,0,0,0,0.65,0,479
-6.5823,10.3186,GeoB1008-3,-3124,2.28,35.13,0.75,4.78,29.75,8.97,0.3,0.75,2.54,7.62,0,0,0,1.94,0,0.15,0,0,0,4.04,0,0.75,0.45,0,0,0.15,0,0,0,0,0,1.2,0,0,0.3,0.3,0,0,0,0,0.15,0,504
-6.5823,10.3186,GeoB1008-3,-3124,2.33,19.96,2.09,5.51,31.97,18.52,0,1.65,2.98,9.26,0.66,0,0,0.66,0,0,0,0,0,3.97,0,0.77,0.77,0,0,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.99,0,477
-6.5823,10.3186,GeoB1008-3,-3124,2.38,20,2.5,1.82,31.59,17.73,0.91,7.27,2.05,5.91,0.68,0.23,0,0.68,0,0,0,0,0.45,5.68,0,1.14,0,0,0,0.23,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0.91,0,325
-6.5823,10.3186,GeoB1008-3,-3124,2.43,27.53,1,2.82,10.95,16.25,0,7.3,4.64,13.43,1.33,0,0,1.99,0,0,0,0,0,7.79,0,1.99,0.17,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,2.49,0,386
-6.5823,10.3186,GeoB1008-3,-3124,2.48,21.23,1.89,0.47,11.79,8.96,0,11.79,2.83,19.81,1.89,1.42,0,1.89,0,0.47,0,0,0.47,3.77,0,3.77,0.47,0,0,0.47,0,0.47,0,0,0,0.47,0,0,0,0,0,0,0.47,0,5.19,0,212
-6.5823,10.3186,GeoB1008-3,-3124,2.53,38.59,5.54,3.7,8.8,11.52,0.43,5.11,5.11,8.59,0.54,0.22,0,1.09,0,0,0,0,0.22,2.83,0,3.8,0.65,0,0,0,0,0,0,0,0,0.98,0,0,0.65,0.22,0,0,0.11,0,1.3,0,612
-6.5823,10.3186,GeoB1008-3,-3124,2.58,27.29,6.52,1.21,15.7,5.31,0,8.7,2.9,14.25,2.66,0.48,0,0.48,0,0,0,0,0.24,9.18,0.24,1.93,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,1.45,0,414
-6.5823,10.3186,GeoB1008-3,-3124,2.63,40.4,2.48,1.66,19.87,13.91,0.66,2.81,1.49,10.93,0.17,0.5,0,0.17,0,0,0,0,0,2.15,0,0.5,0.17,0,0,0,0,0,0,0,0,0.17,0,0.17,0.5,0,0,0,0.17,0,1.16,0,604
-11.7705,11.6819,GeoB1016-3,-3411,0.73,24.68,1.49,4.07,26.81,8.85,0.26,0.84,7.88,13.63,0,0.32,0.26,1.36,0,0,0,0,0.26,1.36,0,0.9,0.13,0,0.26,0,0,0,0,0,0,3.23,0,0,0.52,0,0,0,0,0,2.91,0,696
-11.7705,11.6819,GeoB1016-3,-3411,0.78,7.23,1.16,7.23,32.95,8.09,0,3.47,1.73,8.67,1.16,0,0,4.05,0,2.31,0,0,0.29,4.34,0,6.07,4.62,0.87,0,0,0,0,0,0,0.87,2.31,0,0,0.58,0,0,0,0,0,2.02,0,346
