Latitude,Longitude,Event,Depth [m],Elevation [m],Symbiosis,Spinose,Relative_Abundance
-55.33,65.467,RC08-46,0,-2761,No,No,0.9582089552238806
-55.33,65.467,RC08-46,0,-2761,No,Yes,0.01791044776119403
-55.33,65.467,RC08-46,0,-2761,Yes,No,0.005970149253731343
-55.33,65.467,RC08-46,0,-2761,Yes,Yes,0.0029850746268656717
-53.038,119.735,ELT44.027-PC,0,-3542,No,No,0.588235294117647
-53.038,119.735,ELT44.027-PC,0,-3542,No,Yes,0.27205882352941174
-53.038,119.735,ELT44.027-PC,0,-3542,Yes,No,0.2426470588235294
-53.038,119.735,ELT44.027-PC,0,-3542,Yes,Yes,0
-51.08,129.97,RC08-63,0,-3442,No,No,0.5066225165562914
-51.08,129.97,RC08-63,0,-3442,No,Yes,0.3344370860927152
-51.08,129.97,RC08-63,0,-3442,Yes,No,0.2152317880794702
-51.08,129.97,RC08-63,0,-3442,Yes,Yes,0.013245033112582781
-50.87,-9.867,RC11-78,0,-3115,No,No,0.9861878453038674
-50.87,-9.867,RC11-78,0,-3115,No,Yes,0.0055248618784530384
-50.87,-9.867,RC11-78,0,-3115,Yes,No,0
-50.87,-9.867,RC11-78,0,-3115,Yes,Yes,0.0055248618784530384
-50.7167,13.4333,RC13-275,0,-1984,No,No,0.9690402476780186
-50.7167,13.4333,RC13-275,0,-1984,No,Yes,0.009287925696594427
-50.7167,13.4333,RC13-275,0,-1984,Yes,No,0.01238390092879257
-50.7167,13.4333,RC13-275,0,-1984,Yes,Yes,0
-49.92,-15.57,RC15-91,0,-3775,No,No,0.5949554896142433
-49.92,-15.57,RC15-91,0,-3775,No,Yes,0.07418397626112759
-49.92,-15.57,RC15-91,0,-3775,Yes,No,0.6350148367952523
-49.92,-15.57,RC15-91,0,-3775,Yes,Yes,0
-49.378,94.832,ELT49.025-PC,0,-3366,No,No,0.3288590604026846
-49.378,94.832,ELT49.025-PC,0,-3366,No,Yes,0.42953020134228187
-49.378,94.832,ELT49.025-PC,0,-3366,Yes,No,0.412751677852349
-49.378,94.832,ELT49.025-PC,0,-3366,Yes,Yes,0
-49.33,127.12,RC08-62,0,-3875,No,No,0.33090909090909093
-49.33,127.12,RC08-62,0,-3875,No,Yes,0.4
-49.33,127.12,RC08-62,0,-3875,Yes,No,0.3745454545454545
-49.33,127.12,RC08-62,0,-3875,Yes,Yes,0.03636363636363636
-49,-4.6,RC11-79,0,-3385,No,No,0.9739583333333333
-49,-4.6,RC11-79,0,-3385,No,Yes,0.010416666666666666
-49,-4.6,RC11-79,0,-3385,Yes,No,0.015625
-49,-4.6,RC11-79,0,-3385,Yes,Yes,0
-48.008,114.478,ELT45.070-PC,0,-3726,No,No,0.29676258992805754
-48.008,114.478,ELT45.070-PC,0,-3726,No,Yes,0.49460431654676257
